"","State","Date","Deaths","Confirmed","Recovered","Active","Population","Deaths.per.capita","Confirmed.per.capita","Active.per.capita","Name"
"135","Alaska",2020-04-16,9,300,0,291,731545,1.23027291554176e-05,0.000410090971847255,0.000397788242691837,"Alaska"
"136","Alaska",2020-04-21,9,329,0,320,731545,1.23027291554176e-05,0.000449733099125823,0.000437430369970405,"Alaska"
"137","Alaska",2020-03-11,0,0,0,0,731545,0,0,0,"Alaska"
"138","Alaska",2020-03-29,2,102,0,100,731545,2.73393981231503e-06,0.000139430930428067,0.000136696990615752,"Alaska"
"139","Alaska",2020-05-14,10,383,0,373,731545,1.36696990615752e-05,0.000523549474058329,0.000509879774996753,"Alaska"
"140","Alaska",2020-07-10,17,1323,0,1306,731545,2.32384884046778e-05,0.00180850118584639,0.00178526269744172,"Alaska"
"141","Alaska",2020-06-22,12,758,0,746,731545,1.64036388738902e-05,0.0010361631888674,0.00101975954999351,"Alaska"
"142","Alaska",2020-03-13,0,1,0,1,731545,0,1.36696990615752e-06,1.36696990615752e-06,"Alaska"
"143","Alaska",2020-07-04,16,1107,0,1091,731545,2.18715184985203e-05,0.00151323568611637,0.00149136416761785,"Alaska"
"144","Alaska",2020-04-20,9,321,0,312,731545,1.23027291554176e-05,0.000438797339876563,0.000426494610721145,"Alaska"
"145","Alaska",2020-03-12,0,0,0,0,731545,0,0,0,"Alaska"
"146","Alaska",2020-04-06,6,190,0,184,731545,8.2018194369451e-06,0.000259724282169928,0.000251522462732983,"Alaska"
"147","Alaska",2020-07-07,17,1180,0,1163,731545,2.32384884046778e-05,0.00161302448926587,0.00158978600086119,"Alaska"
"148","Alaska",2020-04-10,7,246,0,239,731545,9.56878934310261e-06,0.000336274596914749,0.000326705807571646,"Alaska"
"149","Alaska",2020-04-23,9,337,0,328,731545,1.23027291554176e-05,0.000460668858375083,0.000448366129219665,"Alaska"
"150","Alaska",2020-07-17,17,1734,0,1717,731545,2.32384884046778e-05,0.00237032581727713,0.00234708732887245,"Alaska"
